R	w	88252
R	r	88252
R	f	88252
R	q	88317
P	w	88324
P	v	88654
P	r	88657
P	s	88998
R	r	88999
P	r	89014
R	v	89339
R	r	89348
P	v	89351
P	r	89359
R	s	89699
R	r	89699
P	s	89704
P	r	89712
R	v	90049
R	w	90049
P	v	90054
P	w	90055
R	s	90399
R	r	90408
P	s	90410
P	r	90415
R	v	90718
P	v	90734
P	t	90744
R	w	91009
R	s	91018
R	v	91049
R	r	91059
P	a	91111
P	z	91111
P	y	91111
R	t	91122
P	b	91437
P	t	91458
P	d	91795
R	a	91799
P	r	91804
P	a	91804
P	q	91809
R	b	92139
R	a	92139
R	r	92139
P	b	92144
P	r	92153
P	a	92153
R	q	92158
P	q	92167
R	d	92499
P	d	92511
R	t	92519
R	q	92529
P	t	92533
P	q	92533
R	b	92859
P	b	92869
R	y	92929
R	d	93218
R	q	93229
P	d	93230
P	q	93235
R	b	93559
P	b	93565
R	q	93579
P	q	93587
R	z	93839
R	b	93845
R	r	93848
R	a	93848
R	t	93852
R	d	93859
R	q	93908
P	v	93921
P	q	93924
P	y	93927
R	q	94259
R	y	94259
P	a	94264
P	y	94270
P	q	94273
P	h	94613
R	y	94619
R	q	94628
P	y	94631
P	q	94634
R	a	94949
P	a	94963
P	t	94966
R	q	94968
P	q	94977
R	h	95279
P	h	95294
R	y	95319
R	q	95329
P	y	95334
P	q	95334
R	a	95679
P	a	95684
R	a	96019
R	h	96019
R	t	96019
P	a	96024
P	h	96026
P	t	96032
P	r	96363
R	a	96369
P	a	96376
R	r	96660
R	h	96660
R	q	96661
R	y	96662
R	v	96662
R	t	96669
R	a	96679
P	c	96721
P	y	97076
P	a	97080
P	d	97414
R	y	97419
P	y	97424
R	a	97729
P	a	97744
P	t	97776
P	h	98115
R	y	98128
P	y	98135
R	a	98449
P	a	98454
R	d	98769
P	d	98781
P	w	98824
R	a	99139
P	a	99151
P	q	99153
R	a	99476
R	y	99477
R	q	99477
R	t	99479
R	c	99479
R	h	99480
R	d	99499
P	x	99505
R	w	99509
P	w	99523
P	n	99854
P	r	99863
P	s	100194
R	r	100209
P	r	100220
R	n	100549
R	w	100549
P	n	100554
P	w	100555
R	r	100899
P	f	100910
P	r	100912
R	n	101249
R	w	101249
P	w	101255
P	n	101255
R	s	101589
P	s	101595
R	r	101609
P	r	101618
R	n	101949
P	t	101955
P	n	101957
P	q	102196
R	f	102259
R	t	102261
R	n	102263
R	w	102264
P	e	102265
R	r	102266
R	x	102266
R	s	102279
P	z	102291
P	y	102341
P	n	102653
P	a	102993
R	n	103329
P	n	103343
R	z	103679
P	d	103687
P	z	103691
R	n	104029
P	n	104036
R	a	104378
P	a	104391
P	w	104403
R	z	104406
R	e	104415
R	n	104729
P	n	104738
R	q	104739
P	q	104744
R	y	105069
R	d	105075
R	a	105076
R	n	105078
R	q	105080
R	w	105109
P	w	105114
P	v	105451
P	r	105453
R	r	105809
P	r	105819
R	v	106128
P	v	106134
R	w	106139
P	w	106147
R	v	106457
P	z	106497
P	t	106501
R	r	106529
R	w	106559
P	b	106838
P	d	107186
P	w	107216
R	z	107539
R	b	107539
P	z	107550
P	b	107550
P	q	107550
R	z	107839
R	d	107842
R	w	107842
R	t	107859
R	b	107878
R	q	107908
P	y	107914
P	c	108240
R	y	108259
P	q	108264
P	y	108270
P	a	108595
R	q	108598
P	t	108604
P	q	108605
R	c	108908
P	c	108923
R	y	108929
R	q	108938
P	y	108941
P	q	108945
R	a	109244
R	c	109244
R	t	109246
R	y	109246
R	q	109289
P	q	109295
P	r	109300
P	x	109304
P	n	109654
P	f	110011
P	w	110013
R	n	110339
R	q	110339
P	n	110350
P	q	110354
R	x	110673
R	r	110674
R	n	110674
R	f	110674
R	q	110674
R	w	110718
P	w	110726
P	v	111054
P	r	111063
P	s	111401
R	r	111419
P	r	111433
R	v	111749
R	w	111749
P	w	111763
P	v	111764
R	s	112091
R	r	112095
R	w	112095
R	v	112095
P	z	112126
P	y	112128
P	b	112460
P	r	112473
R	r	112839
P	d	112851
P	r	112852
R	b	113218
P	b	113226
P	w	113251
R	y	113669
R	d	113673
R	z	113675
R	w	113678
R	r	113679
P	r	113691
P	v	113694
R	b	113699
P	f	113700
P	a	114157
P	h	114591
R	a	115158
P	a	115173
R	f	115289
R	v	116019
P	v	116027
R	h	117499
R	r	117499
R	v	118819
P	v	118825
R	a	118894
R	v	118938
